Catégorie : Toutes catégories

Semaine,le covid: (France),la covid: (France)
2021-11-07,22,16
2021-11-14,27,19
2021-11-21,43,32
2021-11-28,46,36
2021-12-05,49,37
2021-12-12,52,35
2021-12-19,63,36
2021-12-26,86,46
2022-01-02,100,53
2022-01-09,81,43
2022-01-16,83,43
2022-01-23,68,33
2022-01-30,57,29
2022-02-06,38,21
2022-02-13,29,16
2022-02-20,23,14
2022-02-27,21,11
2022-03-06,21,12
2022-03-13,23,13
2022-03-20,26,16
2022-03-27,26,15
2022-04-03,27,15
2022-04-10,25,13
2022-04-17,21,12
2022-04-24,16,10
2022-05-01,14,9
2022-05-08,13,8
2022-05-15,10,7
2022-05-22,9,7
2022-05-29,9,6
2022-06-05,10,7
2022-06-12,12,8
2022-06-19,17,10
2022-06-26,25,14
2022-07-03,27,16
2022-07-10,25,12
2022-07-17,20,10
2022-07-24,16,8
2022-07-31,11,7
2022-08-07,9,6
2022-08-14,8,5
2022-08-21,7,5
2022-08-28,7,4
2022-09-04,7,4
2022-09-11,9,5
2022-09-18,9,6
2022-09-25,10,6
2022-10-02,12,7
2022-10-09,12,7
2022-10-16,11,7
2022-10-23,9,6
2022-10-30,8,5
2022-11-06,8,5
2022-11-13,8,5
2022-11-20,9,5
2022-11-27,13,8
2022-12-04,15,8
2022-12-11,14,8
2022-12-18,13,7
2022-12-25,10,6
2023-01-01,7,5
2023-01-08,6,4
2023-01-15,5,3
2023-01-22,4,3
2023-01-29,4,3
2023-02-05,4,3
2023-02-12,4,3
2023-02-19,4,3
2023-02-26,4,3
2023-03-05,4,2
2023-03-12,4,3
2023-03-19,4,3
2023-03-26,5,3
2023-04-02,5,3
2023-04-09,4,3
2023-04-16,4,2
2023-04-23,4,2
2023-04-30,3,2
2023-05-07,3,2
2023-05-14,3,2
2023-05-21,3,2
2023-05-28,3,2
2023-06-04,3,2
2023-06-11,2,1
2023-06-18,2,1
2023-06-25,2,1
2023-07-02,2,1
2023-07-09,2,1
2023-07-16,2,1
2023-07-23,2,1
2023-07-30,2,1
2023-08-06,4,3
2023-08-13,4,2
2023-08-20,5,2
2023-08-27,5,3
2023-09-03,5,3
2023-09-10,6,3
2023-09-17,8,4
2023-09-24,7,4
2023-10-01,8,4
2023-10-08,6,3
2023-10-15,6,3
2023-10-22,5,3
2023-10-29,4,2
2023-11-05,5,3
2023-11-12,5,3
2023-11-19,6,3
2023-11-26,6,3
2023-12-03,7,3
2023-12-10,8,4
2023-12-17,8,4
2023-12-24,7,3
2023-12-31,5,2
2024-01-07,4,2
2024-01-14,3,2
2024-01-21,3,2
2024-01-28,2,1
2024-02-04,2,1
2024-02-11,2,1
2024-02-18,2,1
2024-02-25,1,1
2024-03-03,1,1
2024-03-10,2,1
2024-03-17,2,1
2024-03-24,1,1
2024-03-31,2,1
2024-04-07,2,1
2024-04-14,2,1
2024-04-21,1,1
2024-04-28,1,1
2024-05-05,2,2
2024-05-12,2,1
2024-05-19,2,1
2024-05-26,2,1
2024-06-02,2,1
2024-06-09,3,2
2024-06-16,5,2
2024-06-23,4,2
2024-06-30,3,2
2024-07-07,3,1
2024-07-14,4,2
2024-07-21,3,1
2024-07-28,2,1
2024-08-04,3,1
2024-08-11,3,1
2024-08-18,3,1
2024-08-25,2,1
2024-09-01,2,1
2024-09-08,3,1
2024-09-15,5,2
2024-09-22,6,2
2024-09-29,5,2
2024-10-06,4,2
2024-10-13,4,2
2024-10-20,3,2
2024-10-27,3,2
2024-11-03,3,2
2024-11-10,2,1
2024-11-17,2,1
2024-11-24,2,1
2024-12-01,2,1
2024-12-08,2,1
2024-12-15,2,1
2024-12-22,2,1
2024-12-29,2,2
2025-01-05,2,2
2025-01-12,2,1
2025-01-19,2,1
2025-01-26,2,1
